,LONGITUDE,LATITUDE,SCIENTIFICNAME,SITEVISITID,STARTDATE,ENDDATE,SITEID,SITECODE,LOCALITYDETAILS,LOCATIONPRECISION,PROJECTID,PROJECTNAME,ORGANISATIONID,ORGANISATIONNAME,ORGANISATIONACRONYM,year
4732,152.78773965,-26.04092473,Phascolarctos cinereus,2055367.0,20200131001030,20200131001030.0,1777024.0,INCIDENTAL,Not recorded,10.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
4733,152.84677307,-26.151296479,Phascolarctos cinereus,2055368.0,20200125015733,20200125015733.0,1777025.0,INCIDENTAL,Not recorded,10.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
4734,152.40162704,-26.224958836,Phascolarctos cinereus,2055369.0,20200127033505,20200127033505.0,1777026.0,INCIDENTAL,Not recorded,5.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
4735,152.66624478,-26.395690373,Phascolarctos cinereus,2055394.0,20200204103510,20200204103510.0,1777027.0,INCIDENTAL,Not recorded,10.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
4736,152.442139,-26.426212,Phascolarctos cinereus,2055395.0,20200116040555,20200116040555.0,1777028.0,INCIDENTAL,Not recorded,10.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
4737,152.701371,-26.395473577,Phascolarctos cinereus,2055396.0,20200204052541,20200204052541.0,1777029.0,INCIDENTAL,Not recorded,10.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
4738,152.46181313,-26.195774233,Phascolarctos cinereus,2055397.0,20191212023227,20191212023227.0,1777030.0,INCIDENTAL,Not recorded,10.0,17619,Koalas,2621,Gympie Regional Council,GRC,2019
4739,152.66566389,-26.395619444,Phascolarctos cinereus,2055398.0,20200211071140,20200211071140.0,1777031.0,INCIDENTAL,Not recorded,10.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
4740,152.78226725,-26.088161864,Phascolarctos cinereus,2055399.0,20200204044712,20200204044712.0,1777032.0,INCIDENTAL,Not recorded,10.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
4741,152.63904147,-26.208921622,Phascolarctos cinereus,2055558.0,20200818052637,20200818052637.0,1777191.0,INCIDENTAL,Not recorded,100.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
4742,152.50069955,-26.211934149,Phascolarctos cinereus,2055555.0,20201005015243,20201005015243.0,1777188.0,INCIDENTAL,Not recorded,100.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
4743,152.80436667,-26.09865,Phascolarctos cinereus,2055556.0,20201007080121,20201007080121.0,1777189.0,INCIDENTAL,Not recorded,100.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
4744,152.64703367,-26.400585167,Phascolarctos cinereus,2055557.0,20201007050010,20201007050010.0,1777190.0,INCIDENTAL,Not recorded,100.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
4745,152.80088889,-26.1566,Phascolarctos cinereus,2055559.0,20201008082055,20201008082055.0,1777192.0,INCIDENTAL,Not recorded,100.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
4746,152.84595336,-26.142061862,Phascolarctos cinereus,2055560.0,20201006093951,20201006093951.0,1777193.0,INCIDENTAL,Not recorded,100.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
4747,152.73756389,-26.288763889,Phascolarctos cinereus,2055561.0,20201008093847,20201008093847.0,1777194.0,INCIDENTAL,Not recorded,100.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
4748,152.6831473,-26.400282745,Phascolarctos cinereus,2055562.0,20201005101930,20201005101930.0,1777195.0,INCIDENTAL,Not recorded,100.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
4749,152.67266746,-26.394192149,Phascolarctos cinereus,2055563.0,20201009085928,20201009085928.0,1777196.0,INCIDENTAL,Not recorded,100.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
4750,152.67241139,-26.392828056,Phascolarctos cinereus,2055564.0,20201008094105,20201008094105.0,1777197.0,INCIDENTAL,Not recorded,100.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
4751,152.64797972,-26.398916222,Phascolarctos cinereus,2055565.0,20201009014601,20201009014601.0,1777198.0,INCIDENTAL,Not recorded,100.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
